filename,BC,ring_light
RCV1.2.4_P1_60h_d.jpg,5.68,True
RCV1.2.4_P1_48h_d.jpg,2.35,True
RCV1.2.4_P1_24h_d.jpg,2.09,True
RCV1.2.4_P1_72h_d.jpg,1.73,True
RCV1.2.4_P1_36h_d.jpg,1.50,True
RCV1.2.4_P1_12h_d.jpg,0.50,True
RCV1.2.4_P1_6h_d.jpg,0.16,True
RCV1.2.4_P1_60h_C.jpg,5.68,False
RCV1.2.4_P1_60h_L.jpg,5.68,False
RCV1.2.4_P1_60h_B.jpg,5.68,False
RCV1.2.4_P1_48h_C.jpg,2.35,False
RCV1.2.4_P1_48h_L.jpg,2.35,False
RCV1.2.4_P1_48h_B.jpg,2.35,False
RCV1.2.4_P1_24h_C.jpg,2.09,False
RCV1.2.4_P1_24h_L.jpg,2.09,False
RCV1.2.4_P1_24h_B.jpg,2.09,False
RCV1.2.4_P1_72h_C.jpg,1.73,False
RCV1.2.4_P1_72h_L.jpg,1.73,False
RCV1.2.4_P1_72h_B.jpg,1.73,False
RCV1.2.4_P1_36h_C.jpg,1.50,False
RCV1.2.4_P1_36h_L.jpg,1.50,False
RCV1.2.4_P1_36h_B.jpg,1.50,False
RCV1.2.4_P1_12h_C.jpg,0.50,False
RCV1.2.4_P1_12h_L.jpg,0.50,False
RCV1.2.4_P1_12h_B.jpg,0.50,False
RCV1.2.4_P1_6h_C.jpg,0.16,False
RCV1.2.4_P1_6h_L.jpg,0.16,False
RCV1.2.4_P1_6h_B.jpg,0.16,False