filename,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
reference,[  41.08068354   88.14146658  249.71922994],[  61.56653491  252.51998243  180.24681599],[ 249.44970798  136.96820247   73.39087173],[ 230.62692139  230.62692139  230.62692139],[ 243.64265628  243.67120917  243.6141034 ],[ 121.08479342  121.08479342  121.08479342],[ 105.43588054  105.43588054  105.43588054],[ 89.69565217  89.69565217  89.69565217],[ 73.06121566  73.06121566  73.06121566],[ 136.57114625  136.57114625  136.57114625],[ 149.19381354  149.16482803  149.16482803],[ 167.67964525  167.69370539  167.66558512],[ 184.11506368  184.11506368  184.11506368],[ 197.60912827  197.60912827  197.60912827],[ 215.81906017  215.77711902  215.83289416],[ 216.24440053  216.22968819  216.25911287],[ 198.4899416  198.5189271  198.5189271],[ 184.50746596  184.50746596  184.50746596],[ 167.53688081  167.55137357  167.52238806],[ 150.22128488  150.22128488  150.22128488],[ 136.87066315  136.87066315  136.87066315],[ 73.22323167  73.22323167  73.22323167],[ 88.67834739  88.67834739  88.67834739],[ 105.44949495  105.44949495  105.44949495],[ 120.73264114  120.73264114  120.73264114],[ 244.83257625  244.84663638  244.81851612],[ 230.59398331  230.59398331  230.59398331],[ 249.96993294  137.28120268   73.46636383],[  61.36934563  252.38032499  180.12274923],[  41.12394549   87.96712092  249.27255029]
SP2-B201-G-H5.jpg,[ 167.92012987   43.60064935   14.81406926],[ 119.28194993  147.26262626   17.57663592],[  51.16093621   74.56980116  145.66155758],[ 179.6894958   173.91533613  170.2342437 ],[ 189.53388747  186.19607843  181.70609548],[ 71.09889173  65.65601023  64.70737425],[ 58.73372269  55.29634437  55.42980748],[ 45.73956305  43.35496431  46.30715985],[ 36.49405148  35.15942029  38.55894441],[ 95.48150552  86.86934891  84.11637465],[ 110.15271469  102.58187324   99.97534069],[ 134.1008658   128.53419913  125.3452381 ],[ 148.77782516  144.18592751  142.70724947],[ 160.1152931   156.91217824  156.29374865],[ 168.76357344  167.50594852  167.25632706],[ 171.75016223  165.61518494  161.33744322],[ 158.50194805  151.37294372  148.86450216],[ 146.6533049   139.7424307   137.53944563],[ 131.56990622  125.90068201  123.91283035],[ 107.30767591  101.9641791   101.92814499],[ 92.15011897  87.89768549  88.66947869],[ 35.74285714  31.95031983  31.75991471],[ 45.06229721  40.96560675  41.71468743],[ 56.29061834  52.23518124  52.59147122],[ 71.19792343  65.85204413  65.99286178],[ 188.03942882  186.95481671  185.06543052],[ 180.0554371   176.8663113   176.70575693],[  53.92336371   72.26139188  139.92004971],[ 115.17547974  141.49466951   14.31343284],[ 165.05549716   39.54446079   12.84380912]
SP2-B201-G-H4.jpg,[ 167.69424307   44.49957356   15.04157783],[ 119.21003677  147.60134112   17.71360588],[  51.8552795    75.99751553  147.75672878],[ 180.80660981  174.96098081  171.33859275],[ 191.94613887  188.58922777  184.16828899],[ 78.86934891  73.91261086  72.32057106],[ 70.56474978  67.01207199  67.1404741 ],[ 57.98767034  55.81029634  58.71122648],[ 46.56608263  45.48864374  48.97534069],[ 96.84944841  88.55288774  85.93164612],[ 112.29829115  105.41315163  102.84771793],[ 135.12601279  129.68187633  126.62558635],[ 150.14626866  145.84498934  144.45053305],[ 158.0347548   154.83283582  154.21748401],[ 168.40514817  167.36642873  166.9156392 ],[ 169.65368808  163.73804889  159.28985507],[ 159.61791831  152.5581906   150.02042161],[ 148.80986372  142.0465066   139.72809864],[ 133.62132196  128.18784648  126.12622601],[ 110.96993294  105.68115942  105.58555051],[ 92.53304904  88.67078891  89.47547974],[ 45.10361237  41.09149903  40.27363184],[ 56.22419851  52.14339043  52.7037769 ],[ 67.76701801  63.69894598  64.03732982],[ 77.77739872  72.68507463  72.84371002],[ 189.45122215  188.33787584  186.60220636],[ 177.46239496  174.44180672  174.48907563],[  55.15156611   73.76623923  140.62350221],[ 116.15671642  142.27078891   14.47206823],[ 168.7530303    41.03441558   13.13116883]
SP2-B201-G-H1.jpg,[ 166.78955224   43.76503198   15.01940299],[ 115.83283582  144.11897655   18.93198294],[  49.28645402   73.07187241  146.8572908 ],[ 182.31151386  176.86673774  173.09147122],[ 188.33256303  185.06911765  180.79810924],[ 69.43371697  64.4599318   63.39514066],[ 57.94505732  54.78282501  55.26433052],[ 44.53731343  42.33376595  45.37508112],[ 35.20191898  34.43710021  37.18123667],[ 93.43304904  85.23731343  82.23539446],[ 108.26311301  100.8891258    98.39616205],[ 133.55287846  127.84776119  124.91449893],[ 147.70210084  143.17878151  141.6605042 ],[ 159.24008529  155.73837953  154.93944563],[ 167.83901919  166.96801706  165.80319829],[ 171.35885788  164.90612157  160.45165477],[ 156.83418585  149.64343564  147.2529838 ],[ 149.17629245  142.20982046  139.78996323],[ 132.83077579  127.49786871  125.36999147],[ 107.91650443  102.54791261  102.68526931],[ 90.15266525  86.49765458  87.64029851],[ 34.65347177  30.73199221  29.90201168],[ 43.78950834  39.76492537  39.66725198],[ 55.5011897   51.44321869  50.82716851],[ 68.57097187  63.72762148  63.61295823],[ 190.32446463  189.36253515  187.64114212],[ 180.75309168  177.85394456  178.55394456],[  52.11847556   70.60874068  135.95422535],[ 114.77953092  140.38933902   14.09872068],[ 165.46204691   40.23859275   13.0869936 ]
SP2-B201-G-H3.jpg,[ 162.7991342    40.62489177   13.85151515],[ 115.23571429  143.27922078   17.08852814],[  49.91611433   71.97141674  142.82021541],[ 179.89741434  174.26445239  170.62602481],[ 190.23039216  186.95204604  182.52600171],[ 67.19982699  62.47015571  61.43685121],[ 54.2217175   51.03179753  51.49123945],[ 43.6165496   41.57067603  44.12576822],[ 35.21158911  34.08999122  37.24341528],[ 93.27168505  84.63941164  82.06857019],[ 106.56375267   98.9108742    96.54605544],[ 130.9012605   125.06386555  121.94894958],[ 148.74648188  144.03432836  142.23965885],[ 159.4302401   155.96474151  155.27146874],[ 168.53536665  167.37421588  166.95003245],[ 169.86594203  163.95588235  160.03665814],[ 158.69932944  151.76876487  149.4168289 ],[ 146.1988491   139.81777494  137.57800512],[ 132.93078088  127.44170452  125.63551806],[ 106.41293532  101.08349557  101.24378109],[ 89.02401038  85.21522821  86.19338092],[ 33.53944563  29.76353945  29.36865672],[ 41.82435648  38.5189271   39.25200087],[ 52.86437378  48.95435864  48.74864806],[ 67.0465066   62.11810513  62.4367294 ],[ 190.74929699  189.54574951  188.01968419],[ 182.21133463  178.88968202  179.35582955],[  51.62712215   69.91469979  136.47826087],[ 113.31177977  139.55889885   13.7110542 ],[ 161.16268657   36.97995736   12.17953092]
SP2-B201-G-H2.jpg,[ 163.62740077   39.21745625   12.64255228],[ 113.61818182  139.98484848   13.93203463],[  52.55306905   71.01044331  138.0200341 ],[ 180.66190785  177.33787584  177.64417045],[ 188.68483669  187.33225178  185.62037638],[ 69.58234519  64.25406236  64.29051383],[ 54.45844156  50.53354978  50.08744589],[ 42.57509881  39.12823891  39.80193237],[ 34.25450154  30.39350022  30.10606061],[ 88.46057118  84.59612106  85.66496164],[ 104.89514066   99.5601023    99.6483376 ],[ 131.29761905  125.76580087  123.95238095],[ 146.35453169  140.08544235  137.74670128],[ 156.49015791  149.7051698   147.43564785],[ 170.52042161  164.43653931  160.54545455],[ 166.554371    165.57590618  165.16204691],[ 157.45439045  154.30200341  153.42071611],[ 147.86204691  143.3098081   141.47590618],[ 130.48791255  124.92894682  121.81185621],[ 108.03915207  100.37270171   97.96733723],[ 92.33219616  83.74200426  81.12025586],[ 34.67803838  33.56055437  37.06162047],[ 44.08955224  41.94505732  44.81332468],[ 56.25632706  53.61280554  53.11702358],[ 69.25957171  64.65001082  62.80834956],[ 191.80207657  188.45987454  183.96863509],[ 180.91855011  175.00831557  171.38422175],[  49.7079536    72.5923778   144.89084507],[ 115.51633139  144.33333333   17.22063595],[ 167.53536665   43.70192516   14.70538611]
SP1-B201-G-3.jpg,[ 167.41684435   43.90426439   14.95906183],[ 118.51141853  146.99077734   18.66337286],[  50.98298319   74.78403361  148.34369748],[ 182.59637527  176.83390192  173.13219616],[ 193.48712957  190.13995241  185.73350638],[ 69.84782609  64.92497869  63.57352941],[ 59.46466198  55.77326602  56.29214223],[ 45.09950249  42.87994809  45.67791477],[ 36.16006922  35.38459875  37.93727017],[ 94.69197491  86.20462903  83.43197058],[ 109.8914125   102.32706035   99.86848367],[ 132.18814379  126.4580618   123.49842338],[ 150.62452026  145.7663113   144.14541578],[ 158.82515991  155.05095949  154.30533049],[ 169.97512438  168.70105992  167.48669695],[ 172.94839701  166.5188845   162.43653931],[ 158.77893143  151.50140601  149.02011681],[ 149.5210902   142.47523253  140.19554402],[ 132.37057569  127.27739872  125.24285714],[ 107.9024443   102.85031365  102.94873459],[ 91.42504867  87.79969717  89.0177374 ],[ 34.61150768  30.7162016   30.05926887],[ 43.29007138  39.40168722  39.97209604],[ 56.3115942   52.22551603  51.71980676],[ 69.37510823  64.82619048  64.95562771],[ 190.40428293  189.51092364  188.01406013],[ 180.4315565   177.76759062  178.71279318],[  53.08934202   71.71915073  138.52953542],[ 114.50895522  140.38955224   13.92345416],[ 165.88869936   40.58464819   13.19317697]
SP1-B201-G-2.jpg,[ 167.24134199   43.21926407   14.61709957],[ 116.24110672  144.46640316   17.88888889],[  49.91701681   73.26239496  146.46386555],[ 181.01151386  175.35010661  171.69232409],[ 192.25243348  188.83755137  184.39519792],[ 69.798183    65.039801    63.38416613],[ 57.40817651  53.93835172  53.93835172],[ 44.10188189  41.93683755  44.64373783],[ 34.8382003   33.92580575  36.87886654],[ 92.43965885  84.1533049   81.27761194],[ 107.19530917   99.69232409   97.3228145 ],[ 130.48676471  125.09978992  122.01554622],[ 148.71684435  144.03347548  142.14690832],[ 159.42380952  155.72445887  154.7474026 ],[ 168.28942245  167.13346312  165.77784988],[ 171.0908501   164.44062297  160.5299589 ],[ 156.43094629  149.06756181  146.6988491 ],[ 149.0486697   141.48864374  139.26411421],[ 132.41450216  127.0034632   124.75194805],[ 105.29211087  100.0326226   100.10703625],[ 89.98918451  86.24680943  87.42007355],[ 33.87851662  30.03495311  29.43670077],[ 42.96776985  39.03936838  39.67315596],[ 55.49758454  51.44444444  50.91875274],[ 68.98767034  64.11031798  64.13389574],[ 189.41098854  188.3569111   186.74388925],[ 178.73454158  175.76823028  176.53859275],[  51.80716653   70.36785418  136.68227009],[ 112.78823529  138.33718487   13.70882353],[ 163.4580618    39.42758041   12.82531007]
SP1-B201-G-1.jpg,[ 156.71148101   35.47012377   12.17029449],[ 111.31278391  137.66125892   14.07224746],[  49.74345663   68.24096907  136.36491456],[ 176.59306723  173.75651261  174.43823529],[ 186.28315565  185.34520256  183.75991471],[ 63.87526652  59.79147122  60.28208955],[ 52.05860404  48.03358209  48.47475856],[ 41.06653491  37.71783048  38.41458059],[ 32.54942678  28.76703439  27.87086308],[ 85.7         82.08697479  82.99054622],[ 103.65202559   98.20277186   98.32643923],[ 128.54446079  123.13832247  121.01198234],[ 147.08111616  139.19943759  136.93229505],[ 157.69499341  149.95805885  147.42314449],[ 169.25054897  162.38493632  157.28392622],[ 168.70408825  167.52368592  166.20376379],[ 156.83901919  153.33006397  152.3347548 ],[ 148.03752665  143.5108742   141.58955224],[ 129.62140004  124.38532689  121.39373555],[ 104.65217391   97.18670077   94.96952259],[ 90.09761905  81.82575758  79.01645022],[ 32.78088235  32.06638655  34.82457983],[ 42.42662338  40.12813853  43.36471861],[ 53.49924292  50.23621025  50.79364049],[ 66.05148172  61.55526714  60.57884491],[ 191.0486697   187.75643522  183.49794506],[ 178.93773987  173.42750533  169.78571429],[  47.95427638   70.07736273  143.5196979 ],[ 113.79914712  141.81343284   18.22089552],[ 159.54467101   39.16102586   14.073786  ]
SP1-B201-G-5.jpg,[ 167.35607676   43.6652452    15.24882729],[ 115.17857143  142.78214286   18.8894958 ],[  51.07332229   74.72721624  147.97369511],[ 181.72409382  176.42963753  172.67356077],[ 192.42115509  189.06229721  184.80207657],[ 72.02271252  66.78823275  65.93900065],[ 60.56982872  56.95586298  57.61923584],[ 46.59021071  44.24604917  47.15935031],[ 36.91455765  35.94484101  38.82998053],[ 95.50227125  87.37508112  84.40341769],[ 108.99104859  101.65366581   99.24488491],[ 135.92602206  130.290504    127.18213281],[ 152.02465931  147.09798832  145.6296777 ],[ 159.32779199  155.58610401  154.86679454],[ 170.4789098   169.25654337  168.25351503],[ 170.74372294  164.36883117  160.09025974],[ 157.00255864  149.91833689  147.57867804],[ 145.95147059  139.18844538  136.92878151],[ 133.92046908  128.64072495  126.57739872],[ 107.9673913   102.79198636  103.01982097],[ 92.8070517   89.20744106  90.49275362],[ 35.00693277  31.23865546  30.59138655],[ 45.12560386  41.08234519  41.67039965],[ 57.28006055  53.16955017  52.92214533],[ 71.57170668  66.49080684  66.70322302],[ 191.50183863  190.45836037  188.90482371],[ 179.48508403  176.46617647  177.36323529],[  53.84217067   72.20567523  138.3465203 ],[ 114.00882353  139.68571429   14.16785714],[ 166.16816048   40.27870252   13.3032437 ]
SP1-B201-G-4.jpg,[ 164.28673534   39.63779693   12.872819  ],[ 113.47782216  139.3588396    13.88585243],[  51.72627067   69.84854052  135.32537253],[ 175.54349627  172.59879867  173.33492129],[ 187.68081023  186.66204691  185.01684435],[ 67.26071429  62.69264706  62.65546218],[ 54.59083156  50.64498934  50.17654584],[ 43.10620809  39.09409474  39.83949816],[ 33.73718487  29.97563025  29.2539916 ],[ 89.96928401  86.46030716  87.67337227],[ 105.52793177  100.38400853  100.61151386],[ 132.03091684  127.04434968  124.87356077],[ 148.35950681  141.76314082  139.443435  ],[ 156.3978678   149.27782516  147.00852878],[ 168.53688699  162.3         158.16588486],[ 166.77287476  165.76811594  164.55505083],[ 155.80157715  152.29987212  151.43925831],[ 149.52121212  144.63160173  143.15952381],[ 131.7684435   126.24648188  123.36226013],[ 107.81635302  100.12610859   97.86502271],[ 92.74432187  84.30045425  81.52130651],[ 34.8801054   34.07905138  36.63570487],[ 44.08124726  42.02503294  44.85463329],[ 57.37576822  53.93656716  54.46312555],[ 69.95586298  64.89964866  63.87790953],[ 192.24198507  188.91238472  184.67215635],[ 179.17014925  173.84989339  170.18294243],[  49.17153668   72.0241749   144.48833298],[ 114.08976855  142.0510491    18.42894225],[ 163.61577825   42.58336887   14.76375267]
SP1-B201-G-6.jpg,[ 164.49989489   39.86314904   12.93020811],[ 114.88251599  140.89445629   13.74946695],[  53.41197479   72.02647059  138.42752101],[ 179.82121849  176.99852941  177.83298319],[ 191.80943111  190.88730262  189.37551374],[ 69.56406926  64.86948052  64.96536797],[ 56.34848485  52.23913043  51.80105402],[ 43.58585859  39.71783048  40.24132631],[ 34.19957356  30.39211087  29.47974414],[ 89.84768908  86.37205882  87.43634454],[ 108.4899416   103.48842743  103.45814406],[ 132.73646055  127.56865672  125.39040512],[ 148.04497016  141.00426257  138.66602728],[ 159.34414882  152.10080035  149.46052347],[ 171.51827817  165.45100584  160.66385464],[ 170.02186147  168.95606061  167.63203463],[ 160.94743673  157.55786286  156.4590093 ],[ 151.90179537  147.40449924  145.32684404],[ 133.62046908  127.97761194  124.791258  ],[ 109.03223015  101.80056241   98.9688514 ],[ 93.92840147  85.90114644  82.72658447],[ 35.2262605   34.46596639  37.00441176],[ 44.77460523  42.38221934  45.46895955],[ 57.82024659  54.86415747  54.58273848],[ 70.26195111  65.57797967  63.8581008 ],[ 192.4856154   189.26065326  184.77136059],[ 185.57927097  180.10737813  176.33948177],[  49.54432477   73.22928749  146.70671085],[ 115.61453602  144.44148821   17.5299589 ],[ 166.15522388   43.10127932   14.56993603]
SP1-B201-G-7.jpg,[ 164.96731602   40.10714286   13.2538961 ],[ 116.61828317  142.67335563   14.41204013],[  55.19518717   74.03208556  142.35494652],[ 177.67142857  174.75588235  175.69453782],[ 188.758382    187.84966472  186.29007138],[ 71.04940711  65.8750549   66.3151076 ],[ 57.06733556  53.03589744  53.19665552],[ 44.1884058   40.22573562  40.92665788],[ 35.64393939  31.68894831  30.9280303 ],[ 92.36491456  88.83560459  90.02336145],[ 105.25945378  100.36953782  100.46092437],[ 133.65898112  128.47518665  126.29358805],[ 148.86561265  141.9692578   139.76679842],[ 159.78921569  152.57352941  150.31394831],[ 171.26376812  164.89877369  160.63701226],[ 167.7855042   166.50588235  165.25798319],[ 158.10420168  154.56428571  153.62310924],[ 151.18414322  146.47890026  144.52173913],[ 135.2571923   129.51373567  126.44213714],[ 108.56567164  101.22985075   98.80021322],[ 95.87988581  87.5256917   84.70267896],[ 36.84520256  35.73944563  38.5238806 ],[ 46.21587714  43.81397361  46.89811811],[ 59.05306905  55.5170503   56.12659847],[ 71.79744136  66.49552239  65.4098081 ],[ 190.47356077  187.14179104  182.80149254],[ 181.71918977  176.05287846  172.44179104],[  51.21453358   74.70585834  148.37211676],[ 117.69573561  146.10277186   18.64733475],[ 168.92004264   44.16439232   15.05906183]
SP2-B201-G-L4.jpg,[ 162.76897204   38.78095438   12.46878285],[ 112.06034115  138.52835821   13.79850746],[  51.81512605   70.44243697  137.3052521 ],[ 174.82746479  171.89457332  172.16031483],[ 189.55678131  188.47653039  186.58208955],[ 68.32792559  63.43478261  63.30889033],[ 54.17759031  50.22820679  50.00108155],[ 42.13943786  39.00461133  39.62296882],[ 33.70085288  29.95565032  29.53326226],[ 89.26865672  85.4412719   86.38048886],[ 103.80777311   98.46176471   98.68340336],[ 130.44840085  124.87078891  122.95884861],[ 146.57711443  139.69240753  137.39736102],[ 158.48660518  151.49451032  149.15349144],[ 167.35954817  161.27983802  157.29497016],[ 165.60528559  164.46248934  163.99595055],[ 156.94584222  153.47484009  152.79083156],[ 147.6901919   142.91108742  141.14520256],[ 131.35223881  125.79978678  122.64136461],[ 106.23752665   98.74307036   96.4315565 ],[ 91.82430704  83.3880597   80.64797441],[ 34.9400822   33.85052996  36.96344365],[ 43.25        41.05733163  43.66091219],[ 56.25438027  52.91520658  52.79039585],[ 69.01211335  64.43824356  62.63248973],[ 190.92256111  187.57343716  183.13346312],[ 181.85497835  176.27554113  172.53290043],[  50.37241094   72.28583264  143.6081193 ],[ 113.34946695  141.10938166   16.90533049],[ 165.00383795   42.64626866   14.68144989]
SP2-B201-G-L2.jpg,[ 165.40810235   43.18059701   14.71940299],[ 114.90916844  142.76780384   17.15159915],[  50.41797846   74.06462303  145.47990886],[ 179.37268908  173.70210084  170.01281513],[ 189.25927505  185.97569296  181.48933902],[ 71.74626866  66.32727666  65.27514601],[ 59.22783143  55.75790167  56.33121159],[ 45.83517197  43.5342851   46.54272118],[ 37.00921861  35.83625988  39.42295874],[ 95.19935065  86.93225108  84.05519481],[ 106.56365546   99.32184874   97.06365546],[ 133.45458422  127.82302772  124.74690832],[ 150.78844906  146.16223232  144.74994592],[ 157.58933902  154.58528785  153.98763326],[ 168.60415315  167.63443651  167.26130218],[ 170.3025974   164.33246753  159.9034632 ],[ 158.70495349  151.57192299  149.08025092],[ 146.86786019  140.42348679  138.05946292],[ 132.01791045  126.53816631  124.57867804],[ 107.38533674  102.09228474  102.17391304],[ 91.0880597   87.37270789  88.44797441],[ 35.80229288  31.80661908  31.11550941],[ 44.44105559  40.44321869  40.84793424],[ 57.39745279  53.34650856  52.88932806],[ 70.68550107  65.35628998  65.64733475],[ 190.51568246  189.32208523  187.73069435],[ 178.36911765  175.14306723  175.60063025],[  54.80807231   73.03889006  141.02837923],[ 115.90895522  142.04477612   14.27910448],[ 165.21946605   40.00735758   13.18772336]
SP2-B201-G-L3.jpg,[ 165.33624733   43.0206823    14.82430704],[ 117.5702679   145.90250329   18.12933685],[  50.09642857   74.10882353  147.08718487],[ 181.76268657  176.35138593  172.58528785],[ 191.95652174  188.7272334   184.28487995],[ 70.67259552  65.77075099  64.60057093],[ 57.54016681  54.30816506  54.87686567],[ 44.23534501  42.01427644  45.01168073],[ 35.45489942  34.12026822  38.22993727],[ 94.37270171  85.6917586   82.9800995 ],[ 107.48827292  100.08955224   97.62046908],[ 131.82857143  126.46652452  123.27398721],[ 148.58422175  144.03518124  142.53965885],[ 157.62345416  154.37867804  153.64776119],[ 169.00259572  168.12286394  167.32879083],[ 172.74418094  166.50043917  161.67962231],[ 160.08915239  152.64953887  150.00307422],[ 148.67445382  141.1486048   138.90936621],[ 131.68166311  125.87675906  123.88230277],[ 106.13597613  100.63618926  100.72804774],[ 91.68854258  87.60996488  88.56365233],[ 34.70170885  30.83409042  29.98788665],[ 42.83430673  39.23145144  39.80640277],[ 55.12697383  51.1042613   50.71814839],[ 68.46098081  63.36567164  63.33091684],[ 192.49143986  191.3380158   189.51053556],[ 180.12793177  176.89744136  176.96993603],[  53.61897655   72.42750533  140.17675906],[ 114.61277056  141.34329004   14.22943723],[ 165.75053305   40.00021322   12.90405117]
SP2-B201-G-L1.jpg,[ 165.98896104   39.85627706   12.92294372],[ 114.62662338  140.42965368   14.02705628],[  53.69253731   71.59658849  137.63539446],[ 178.38028169  175.16565062  175.9821316 ],[ 188.37462687  187.17569296  185.54989339],[ 69.69552239  64.53006397  64.83859275],[ 56.68467282  52.39481774  52.19631094],[ 44.16966637  40.1000878   40.71400351],[ 35.26833553  31.33992095  30.43390426],[ 90.94115139  87.0565032   88.23646055],[ 105.58004202  100.18676471  100.35084034],[ 130.89657347  125.45259617  123.30775699],[ 148.09344581  140.66839714  138.46549859],[ 156.33809215  148.99069868  146.58836254],[ 169.63263065  162.90338164  158.7277119 ],[ 164.60008402  163.72505776  162.39487503],[ 160.16937054  156.733939    155.54899416],[ 150.24853991  145.51070733  143.68570193],[ 133.27687649  127.74453818  124.58338741],[ 108.01211335  100.55137357   98.17629245],[ 94.75273133  86.45328874  83.4599777 ],[ 35.06113445  34.41848739  37.17584034],[ 44.55818414  42.28516624  45.61551577],[ 58.44600527  54.97761194  55.72914838],[ 71.39661984  65.74539069  65.21707638],[ 191.56233538  188.19095698  184.01404741],[ 179.26216742  173.79212632  170.14752325],[  49.43993372   73.15037283  147.61122618],[ 114.55735608  143.01449893   18.95884861],[ 164.54029851   42.5901919    15.08571429]
